source,target,timestamp,value,valueDoll
89667393,LocalBitcoins.com-old,1391470320,20.10409711,16927.85081
26450526,66670951,1391470320,39.7325819,33455.23129
63233666,27910141,1391470320,57.56394538,48469.41765
156777387,19022537,1391470320,38.44849631,32374.01838
156777387,61468789,1391470320,94.95389904,79952.13253
137766728,20323855,1391470320,77.95648018,65640.13588
56367266,140169113,1391470320,26.38943008,22220.16402
109696811,64251203,1391470320,118.0264952,99379.48921
45288885,2876364,1391470320,70.63808148,59477.97099
114610826,138024825,1391470320,28.35982161,23879.25339
5617089,29267853,1391470320,75.53850819,63604.17928
62391725,24376578,1391470320,66.30022206,55825.44998
62391725,33718761,1391470320,55.70442732,46903.68485
48953134,8278627,1391470320,47.94189989,40367.55913
402655,94658609,1391470320,126.0451688,106131.2926
mtgox,2390585,1391470320,19.90933371,16763.85808
171351823,ePay.info,1391470320,25.1536385,21179.61515
ePay.info,ePay.info,1391470320,18.45442967,15538.81433
238735,116839753,1391472220,19.70477847,16591.62052
238735,126815795,1391472220,35.58803558,29965.48184
27910141,141887366,1391472220,55.63616553,46846.20774
97810076,111245642,1391472220,61.55593077,51830.70927
1982064,131480990,1391472220,24.17849429,20358.53398
165338031,28093668,1391472220,45.47174858,38287.66702
57832572,164599535,1391472220,60.20341579,50691.87813
122505256,122505256,1391472220,22.30370862,18779.9457
61468789,32403986,1391472220,87.5643001,73730.01633
122505256,122505256,1391472220,17.78861862,14978.19476
171351823,GHash.io,1391472220,25.19753805,21216.57901
ePay.info,ePay.info,1391472220,18.43342967,15521.13212
131941750,41188530,1391472220,15.08213721,12699.31035
64251203,34278673,1391472220,109.5982159,92282.7938
82163463,38209229,1391472220,23.4141355,19714.93623
257422,19713572,1391472220,197,165875.97
79143841,79143841,1391472220,44.9997,37890.1974
110382094,150233011,1391472220,291.089297,245100.099
122505256,122505256,1391472220,18.98624862,15986.6112
67047760,81852022,1391472220,17.98504599,15143.58857
112386576,72362434,1391472220,131.008076,110310.1101
